pid_true,smiles,Tg (K),Tg (experimental) (K),Tg source,density (kg/m^3),density (std dev) ,density (experimental) (kg/m^3),density source,Order parameter,ree (nm),ree (std dev),rg (nm),rg (std dev),Delta RDF,Steps,Equilibrated?,pid (old)
W01_P034,[*]CC(C(=O)OCCCC)[*],246.9524,230,[1],1032.841,2.0557,1080,[1],0.012544,2.299942458,0.0119,0.9807,0.0016,0.0062,2,TRUE,W01_P040
W01_P035,[*]C(c1ccc(F)cc1)C[*],408.477,368,[1],1126.142,2.1704,1100.5,[1],0.014086,2.590338262,0.0045,1.0453,0.0008,0.0187,2,TRUE,W01_P041
W01_P036,[*]C(c1c(Cl)cccc1)C[*],380.6836,392,[1],1192.954,1.8861,1250,[1],0.019068,2.879884416,0.0046,1.0735,0.0008,0.0084,3,TRUE,W01_P042
W01_P037,[*]C(c1cc(Cl)ccc1)C[*],415.5885,363,[1],1184.46,1.8928,1241,[1],0.014972,2.509657742,0.0048,1.037,0.0008,0.0142,3,TRUE,W01_P043
W01_P038,[*]C(c1ccc(Cl)cc1)C[*],363.8145,402,[1],1181.782,1.8929,1237.5,[1],0.017223,2.520677922,0.0046,1.0629,0.0008,0.0169,2,TRUE,W01_P044
W01_P039,[*]CC(C(=O)OCCC)[*],220.446,228,[3],1066.412,2.248,1100,[1],0.010129,2.245292308,0.0119,0.947,0.0012,0.0106,2,TRUE,W01_P045
W01_P040,[*]CC1=CC=C(C[*])C=C1,362.1984,319.5,[9],1072.955,1.4306,1100,[9],0.830415,10.47671149,0.0054,3.302,0.0014,0.0107,2,TRUE,W01_P048
W01_P041,[*]C(C(=O)C)C[*],371.9781,308,[1],1087.187,1.7299,1168,[1],0.012891,2.204738661,0.0041,0.8781,0.0008,0.0052,4,TRUE,W01_P051
W01_P042,[*]C(NC(=O)C)C[*],-,N/A,N/A,1115.191,1.5917,1060,[10],0.009873,2.138241459,0.0035,0.8831,0.0006,0.0086,2,TRUE,W01_P053
W01_P043,*C(C)C(*)C(C)=C,444.1406,276,[1],862.2799,1.6721,850,[1],0.029768,3.840639061,0.0066,1.2556,0.001,0.0163,2,TRUE,W01_P058
W01_P044,[*]C(C)O[*],300.4065,243,[1],1040.035,2.2115,1140,[1],0.011862,2.419675125,0.0052,0.7657,0.001,0.0138,2,TRUE,W01_P059
W01_P045,[*]OCCOC(=O)c1ccc(C(=O)O[*])cc1,344.3078,340,[1],1318.132,1.6598,1333,[1],0.025478,5.261718382,0.0067,2.1317,0.0011,0.0062,2,TRUE,W01_P062
W01_P046,[*]OCCCCCCCCCCOC(=O)c1ccc(C(=O)O[*])cc1,292.5973,281,[1],1110.978,1.8658,1102.5,[1],0.049087,8.119686314,0.013,3.3327,0.002,0.0146,3,TRUE,W01_P063
W01_P047,[*]OCCCCCCCCCCOC(=O)CCCCCCCCC(=O)[*],239.705,209,[1],992.9235,2.1009,1086,[1],0.042426,7.221318581,0.0296,3.0045,0.0027,0.0138,3,TRUE,W01_P064
W01_P048,[*]OCCCCCCCCCCOC(=O)CCCCC(=O)[*],243.3974,199,[1],1028.625,2.0109,973,[1],0.046093,5.737873826,0.031,2.5431,0.0021,0.0126,4,TRUE,W01_P065
W01_P049,C1CC(C[*])CCC1COC(=O)c1ccc(C(=O)O[*])cc1,372.8146,365,[1],1141.756,1.6817,1190,[1],0.035828,6.237032767,0.0096,2.4883,0.0015,0.0098,2,TRUE,W01_P067
W01_P050,C1CC(CO[*])CCC1COC(=O)c1ccc(C(=O)O[*])cc1,366.3345,363,[1],1169.831,1.5577,1195,[1],0.054235,7.813039061,0.0074,2.9963,0.0016,0.0038,2,TRUE,W01_P068
W01_P051,[*]C(c1ccc(C)cc1)C[*],431.9402,382,[1],967.6525,1.9475,1019,[1],0.022227,2.453967832,0.0062,1.0132,0.0009,0.0048,2,TRUE,W01_P076
W01_P052,[*]C(=O)CCN[*],359.9961,418.5,[2],1240.7669,1.5086,1330,[2],0.017797,3.13962967,0.0112,1.2322,0.0018,0.0085,2,TRUE,W01_137
W01_P053,[*]CC(OCCCC)[*],229.2991,218.5,[1],908.7416,2.2891,926,[1],0.014705,2.500634066,0.0449,1.0275,0.0043,0.0093,2,TRUE,W01_140
W01_P054,[*]CC(OCC(C)C)[*],271.5336,251.5,[1],901.3483,1.9702,923,[1],0.019938,2.260554246,0.0309,0.9332,0.0027,0.0151,2,TRUE,W01_141
W01_P055,[*]C(=O)CCCCCO[*],251.4747,201,[2],1083.3602,2.2504,1147,[2],0.015487,4.19080959,0.0446,1.684,0.0074,0.0108,2,TRUE,W01_143
W01_P056,[*]C/C=C(C)\C[*],270.9172,201.5,[2],880.2133,2.2639,913,[2],0.015855,2.6520999,0.0627,1.1136,0.0054,0.0099,2,TRUE,W01_145
W01_P057,c1cc([*])ccc1O[*],321.8467,363,[2],1225.0581,1.8159,1270,[2],0.010297,4.2792,0.018,1.5311,0.0026,0.0101,2,TRUE,W01_146
W01_P058,[*]C(c1ccc(O)cc1)C[*],428.0592,430.5,[11],1124.129,1.6095,1160,[11],0.027534,2.489570629,0.0119,0.9863,0.0018,0.0174,2,TRUE,W01_P047
W01_P059,CCCCCCCCOC(=O)C([*])(C)C[*],235.3396,228,[1],960.4907,2.1879,971,[1],0.020722,3.038412388,0.0737,1.1881,0.0037,0.0192,2,TRUE,W01_P082
W01_P060,[*]CO[*],299.5458,225.5,[1],1291.193,1.9381,1250,[1],0.009049,2.132777922,0.0091,0.7765,0.0022,0.0065,2,TRUE,W01_P084
W01_P061,[*]C(c1ccc(OC)cc1)C[*],332.618,380,[1],1065.2218,1.9745,1118,[1],0.020058,2.506283017,0.021,0.9859,0.0023,0.014,3,TRUE,W01_P085
W01_P062,CCCCCOC(=O)C([*])(C)C([*]),256.9395,300,[1],1000.7932,1.9419,1032,[1],0.043675,2.853671429,0.0593,1.1507,0.0039,0.0112,4,TRUE,W01_P086
W01_P063,[*]C1=CC=C(C=C[*])C=C1,437.8974,281,[1],1113.3041,1.6671,1283,[1],0.404492,10.48422428,0.0151,3.432,0.0024,0.0184,2,TRUE,W01_P089
W01_P064,[*]OCC(O)(C1CC(O)C(C[*])CC1),,N/A,N/A,1134.8274,1.5295,1090,[1],0.038187,5.493271329,0.0172,1.9653,0.0025,0.0085,2,TRUE,W01_P091
W01_P065,[*]C(OCOc1ccccc1)C[*],323.8667,344,[1],1158.0904,1.9197,1198,[1],0.018673,2.346956943,0.0178,1.069,0.0027,0.0101,3,TRUE,W01_P093
W01_P066,[*]C(C1CCCCC1)C[*],396.5949,385,[1],882.8946,1.6869,946,[1],0.010184,2.191537562,0.0167,0.963,0.0027,0.0042,3,TRUE,W01_P095
W01_P067,[*]C(C1CCCC1)C[*],392.3653,345.5,[1],915.5869,1.8224,965,[1],0.015455,2.159965834,0.016,0.908,0.0025,0.0177,2,TRUE,W01_P096
W01_P068,[*]C(C1CC1)C[*],-,N/A,N/A,891.979,1.834,975,[1],0.015366,2.050455445,0.0161,0.8601,0.0028,0.0141,3,TRUE,W01_P097
W01_P069,[*]CC(O)COCCCOC(O)CO[*],325.9346,297.5,[1],1193.4905,1.778,1050,[1],0.022115,4.485850949,0.0229,1.864,0.0026,0.0154,3,TRUE,W01_P098
